"## Filename : qalingo-bo-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : bo",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Backoffice Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
,,,,,,,,,,,,,,,,,
"product.sku","error.form.name.empty","Product sku name can&#39;t be null or empty","Le nom du produit SKU ne peut-être vide.","Der Name des SKU Produkt darf nicht leer sein.","El nombre del producto SKU no puede estar vacío.","Il nome del prodotto SKU non può essere vuoto.","De naam van de SKU product kan niet leeg zijn.","O nome do produto SKU não pode estar vazio.","SKU製品の名前は空にすることはできません。","该SKU产品的名称不能为空。","該SKU產品的名稱不能為空。","该SKU产品的名称不能为空。","該SKU產品的名稱不能為空。","Tên sản phẩm Mã sản phẩm không thể để trống.","Название товара Артикул не может быть пустым или пустой","El nom del producte SKU no pot estar buit.","SKU produktuaren izena ezin da hutsik egon."
"product.sku","error.form.product.marketing.empty","Product marketing can&#39;t be null or empty","Le code du produit SKU ne peut-être vide.","SKU Produktcode kann nicht leer sein.","SKU código de producto no puede estar vacío.","Codice prodotto SKU non può essere vuoto.","SKU productcode kan niet leeg zijn.","Código do produto SKU não pode estar vazio.","SKUの製品コードは、空にすることはできません。","SKU产品代码不能为空。","SKU產品代碼不能為空。","SKU产品代码不能为空。","SKU產品代碼不能為空。","SKU mã sản phẩm không thể để trống.","Продукт маркетинга не может быть пустым или пустой","SKU codi de producte no pot estar buit.","SKU produktuaren kodea ezin da hutsik egon."
,,,,,,,,,,,,,,,,,
"## -- Product Brand --",,,,,,,,,,,,,,,,,
"brand","update.success.message","The brand was updated with success.","La marque a été mise à jour avec succès.","Die Marke wurde erfolgreich aktualisiert.","La marca se ha actualizado correctamente.","Il marchio è stato aggiornato con successo.","Het merk is succesvol bijgewerkt.","A marca foi atualizado com sucesso.","ブランドは正常に更新されました。","该品牌已成功更新。","該品牌已成功更新。","该品牌已成功更新。","該品牌已成功更新。","Các thương hiệu đã được cập nhật thành công.","Бренд был обновлен с успехом.","La marca s'ha actualitzat correctament.","Marka bezala eguneratu da."
"brand","create.success.message","The brand was created with success.","La marque a été créée avec succès.","Die Marke wurde erfolgreich erstellt.","La marca se ha creado correctamente.","Il marchio è stato creato con successo.","Het merk is succesvol aangemaakt.","A marca foi criada com sucesso.","ブランドの作成に成功しました。","该品牌创建成功。","該品牌創建成功。","该品牌创建成功。","該品牌創建成功。","Các thương hiệu đã được tạo thành công.","Бренд был создан с успехом.","La marca s'ha creat correctament.","Marka egoki sortu da."
"brand","delete.success.message","The brand was delete with success.","La marque a été supprimée avec succès.","Die Marke wurde erfolgreich gelöscht.","La marca se ha eliminado correctamente.","Il marchio è stato eliminato con successo.","Het merk is met succes verwijderd.","A marca foi excluído com sucesso.","ブランドは正常に削除されました。","该品牌已成功删除。","該品牌已成功刪除。","该品牌已成功删除。","該品牌已成功刪除。","Các thương hiệu đã được xóa thành công.","Бренд был удаления с успехом.","La marca s'ha eliminat correctament.","Marka hau behar bezala ezabatu da."
"brand","create.or.update.message","The brand can&#39;t be updated or created!","La marque n&#39;a pu être mise à jour avec succès.","Die Marke wurde erfolgreich aktualisiert.","La marca se ha actualizado correctamente.","Il marchio è stato aggiornato con successo.","Het merk is succesvol bijgewerkt.","A marca foi atualizado com sucesso.","ブランドは正常に更新されました。","该品牌已成功更新。","該品牌已成功更新。","该品牌已成功更新。","該品牌已成功更新。","Các thương hiệu đã được cập nhật thành công.","Бренд не может быть обновлена или создано!","La marca s'ha actualitzat correctament.","Marka bezala eguneratu da."
,,,,,,,,,,,,,,,,,
"## -- Warehouse --",,,,,,,,,,,,,,,,,
"header.title","warehouse.list.by.market.area","Warehouse list for this Market Area - {0}","Liste des entrepôts pour cette market area - {0}","Lagerliste für dieses Marktgebiet - {0}","Lista de Almacén para esta área de mercado - {0}","Lista Warehouse per questa area di mercato - {0}","Magazijn Lijst voor dit marktgebied - {0}","Armazém Lista para esta área de mercado - {0}","この市場領域の倉庫一覧 - {0}","仓库清单这一市场领域 - {0}","倉庫清單這一市場領域 - {0}","仓库清单这一市场领域 - {0}","倉庫清單這一市場領域 - {0}","Danh sách kho hàng cho khu vực thị trường này - {0}","Список Склад для этого рыночной площади - {0}","Llista de Magatzem per a aquesta àrea de mercat - {0}","Biltegi merkatuko arlo honetan zerrenda - {0}"
"header.title","warehouse.details","Warehouse - {0}","Entrepôt - {0}","Warehouse - {0}","Almacén - {0}","Warehouse - {0}","Magazijn - {0}","Armazém - {0}","倉庫 - {0}","仓库 - {0}","倉庫 - {0}","仓库 - {0}","倉庫 - {0}","Kho hàng - {0}","Склад - {0}","Magatzem - {0}","Biltegi - {0}"
"header.title","warehouse.edit","Warehouse - {0}","Entrepôt - {0}","Warehouse - {0}","Almacén - {0}","Warehouse - {0}","Magazijn - {0}","Armazém - {0}","倉庫 - {0}","仓库 - {0}","倉庫 - {0}","仓库 - {0}","倉庫 - {0}","Kho hàng - {0}","Склад - {0}","Magatzem - {0}","Biltegi - {0}"
"header.title","warehouse.add","New Warehouse","Nouvel entrepôt","neues Lager","Nuevo almacén","Nuovo magazzino","nieuw magazijn","novo armazém","新倉庫","新的仓库","新的倉庫","新的仓库","新的倉庫","kho mới","Новый офис","Nou magatzem","Biltegi berria"
"warehouse","code.label","Code","Code","Code","código","codice","code","código","コード","代码","代碼","代码","代碼","Mã","код","Codi","Kodea"
"warehouse","name.label","Name","Nom ","Name","nombre","nome","naam","nome","名前","名字","名字","名字","名字","tên","имя","Nom","Izena"
"warehouse","description.label","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","説明","描述","描述","描述","描述","miêu tả","описание","Descripció","Deskribapena"
"warehouse","is.default.label","is default","est celui par défaut ?","ist der Standard?","es el valor por defecto?","è il default?","is de standaard?","é o padrão?","デフォルトは？","是默认？","是默認？","是默认？","是默認？","là mặc định?","по умолчанию","és el valor per defecte?","lehenetsia da?"
"warehouse","associated.delivey.methods.label","Associated Delivery methods","Modes de livraison associés","Versandmöglichkeiten verbunden","Métodos del envío asociados","Metodi di spedizione associate","Verzendmethoden geassocieerd","Métodos do transporte associado","関連した配送方法","配送方式有关","配送方式有關","配送方式有关","配送方式有關","Phương pháp vận chuyển liên quan","Сопутствующие Способы доставки","Mètodes de l'enviament associats","Bidalketa metodoak lotutako"
,,,,,,,,,,,,,,,,,
"warehouse","error.form.code.empty","Warehouse code can&#39;t be null or empty","Le nom de l&#39;entrepôt ne peut-être vide.","Name des Kaufhauses darf nicht leer sein.","El nombre de la tienda no puede estar vacío.","Il nome del negozio non può essere vuoto.","De naam van de winkel mag niet leeg zijn.","O nome da loja não pode ser vazio.","店の名前を空にすることはないかもしれない。","这家商店的名称不能为空。","這家商店的名稱不能為空。","这家商店的名称不能为空。","這家商店的名稱不能為空。","Tên của cửa hàng có thể không được bỏ trống.","Склад код не может быть пустым или пустой","El nom de la botiga no pot estar buit.","Baliteke Dendan izena hutsa ez izatea."
"warehouse","error.form.name.empty","Warehouse name can&#39;t be null or empty","Le code de l&#39;entrepôt ne peut-être vide.","Die Lagercode kann nicht leer sein.","El código de almacén no puede estar vacío.","Il codice magazzino non può essere vuoto.","Het magazijn code kan niet leeg zijn.","O código de armazém não pode estar vazio.","倉庫コードは空にすることはできません。","仓库代码不能为空。","倉庫代碼不能為空。","仓库代码不能为空。","倉庫代碼不能為空。","Mã kho không thể để trống.","Имя склада не может быть пустым или пустой","El codi de magatzem no pot estar buit.","Biltegi kodea ezin da hutsik egon."
,,,,,,,,,,,,,,,,,
"warehouse","update.success.message","The warehouse was updated with success.","L&#39;entrepôt a été mis à jour avec succès.","Das Lager wurde erfolgreich aktualisiert.","El almacén se ha actualizado correctamente.","Il magazzino è stato aggiornato con successo.","Het magazijn is succesvol bijgewerkt.","O armazém foi atualizado com sucesso.","倉庫は正常に更新されました。","仓库已成功更新。","倉庫已成功更新。","仓库已成功更新。","倉庫已成功更新。","Các kho hàng đã được cập nhật thành công.","Склад был обновлен с успехом.","El magatzem s'ha actualitzat correctament.","Biltegietan ondo eguneratu da."
"warehouse","create.success.message","The warehouse was created with success.","L&#39;entrepôt a été créé avec succès.","Das Lager wurde erfolgreich angelegt.","El almacén se ha creado correctamente.","Il magazzino è stato creato con successo.","Het magazijn is succesvol aangemaakt.","O armazém foi criado com sucesso.","倉庫の作成に成功しました。","仓库成功创建。","倉庫成功創建。","仓库成功创建。","倉庫成功創建。","Nhà kho được tạo thành công.","Склад был создан с успехом.","El magatzem s'ha creat correctament.","Biltegi egoki sortu da."
"warehouse","delete.success.message","The warehouse was delete with success.","L&#39;entrepôt a été supprimé avec succès.","Das Lager wurde erfolgreich gelöscht.","El almacén se ha eliminado correctamente.","Il magazzino è stato eliminato.","Het magazijn is verwijderd.","O armazém foi excluído com sucesso.","倉庫は正常に削除されました。","仓库被成功删除。","倉庫被成功刪除。","仓库被成功删除。","倉庫被成功刪除。","Nhà kho được xóa thành công.","Склад удаления с успехом.","El magatzem s'ha eliminat correctament.","Biltegietan ezabatu da."
"warehouse","create.or.update.message","The warehouse can&#39;t be updated or created!","L&#39;entrepôt n&#39;a pu être mis à jour avec succès.","Das Lager wurde erfolgreich aktualisiert.","El almacén se ha actualizado correctamente.","Il magazzino è stato aggiornato con successo.","Het magazijn is succesvol bijgewerkt.","O armazém foi atualizado com sucesso.","倉庫は正常に更新されました。","仓库已成功更新。","倉庫已成功更新。","仓库已成功更新。","倉庫已成功更新。","Các kho hàng đã được cập nhật thành công.","Склад не могут быть обновлены или созданы!","El magatzem s'ha actualitzat correctament.","Biltegietan ondo eguneratu da."
"## -- Rule --",,,,,,,,,,,,,,,,,
"header.title","rule.details","Rule - {0}","Règle - {0}","Rule - {0}","Regla - {0}","Regola - {0}","Regel - {0}","Regra - {0}","ルール - {0}","规则 - {0}","規則 - {0}","规则 - {0}","規則 - {0}","Rule - {0}","Правило - {0}","Regla - {0}","Araua - {0}"
"header.title","rule.edit","Rule - {0}","Règle - {0}","Rule - {0}","Regla - {0}","Regola - {0}","Regel - {0}","Regra - {0}","ルール - {0}","规则 - {0}","規則 - {0}","规则 - {0}","規則 - {0}","Rule - {0}","Правило - {0}","Regla - {0}","Araua - {0}"
"rule","code.label","Code","Code","Code","código","codice","code","código","コード","代码","代碼","代码","代碼","Mã","код","Codi","Kodea"
"rule","name.label","Name","Nom ","Name","nombre","nome","naam","nome","名前","名字","名字","名字","名字","tên","имя","Nom","Izena"
"rule","description.label","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","説明","描述","描述","描述","描述","miêu tả","описание","Descripció","Deskribapena"
"## -- Delivery Method --",,,,,,,,,,,,,,,,,
"header.title","delivery.method.list.by.market.area","Delivery method list for this Market Area - {0}","Mode de livraison pour cette market area - {0}","Lieferverfahren für dieses Marktgebiet - {0}","Forma de entrega para esta área de mercado - {0}","Metodo di consegna per questo settore di mercato - {0}","Levering methode voor dit marktgebied - {0}","Método de entrega para esta área de mercado - {0}","この市場領域の配送方法 - {0}","交货方式为这个市场领域 - {0}","交貨方式為這個市場領域 - {0}","交货方式为这个市场领域 - {0}","交貨方式為這個市場領域 - {0}","Phương thức giao hàng cho các khu vực thị trường này - {0}","Доставка Список методов для этого рыночной площади - {0}","Forma de lliurament per a aquesta àrea de mercat - {0}","Etxez merkatuko arlo honetan metodo - {0}"
"header.title","delivery.method.details","Delivery method - {0}","Mode de livraison - {0}","Lieferung Methode - {0}","Método de la entrega - {0}","Metodo di consegna - {0}","Levering methode - {0}","Método de entrega - {0}","配送方法 - {0}","送货方式 - {0}","送貨方式 - {0}","送货方式 - {0}","送貨方式 - {0}","Phương thức giao hàng - {0}","Способ доставки - {0}","Mètode del lliurament - {0}","Entregatzeko metodoa - {0}"
"header.title","delivery.method.edit","Delivery method - {0}","Mode de livraison - {0}","Lieferung Methode - {0}","Método de la entrega - {0}","Metodo di consegna - {0}","Levering methode - {0}","Método de entrega - {0}","配送方法 - {0}","送货方式 - {0}","送貨方式 - {0}","送货方式 - {0}","送貨方式 - {0}","Phương thức giao hàng - {0}","Способ доставки - {0}","Mètode del lliurament - {0}","Entregatzeko metodoa - {0}"
"header.title","delivery.method.add","New Delivery Method","Nouveau mode de livraison","Neue Liefer","Nueva entrega","New consegna","Nieuwe aflevering","Nova entrega","新しい配信","新的交付","新的交付","新的交付","新的交付","Giao hàng mới","Новый метод доставки","Nou lliurament","Entrega New"
"delivery.method","code.label","Code","Code","Code","código","codice","code","código","コード","代码","代碼","代码","代碼","Mã","код","Codi","Kodea"
"delivery.method","name.label","Name","Nom ","Name","nombre","nome","naam","nome","名前","名字","名字","名字","名字","tên","имя","Nom","Izena"
"delivery.method","description.label","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","説明","描述","描述","描述","描述","miêu tả","описание","Descripció","Deskribapena"
"delivery.method","is.default.label","is default","est celui par défaut ?","ist der Standard?","es el valor por defecto?","è il default?","is de standaard?","é o padrão?","デフォルトは？","是默认？","是默認？","是默认？","是默認？","là mặc định?","по умолчанию","és el valor per defecte?","lehenetsia da?"
"delivery.method","associated.warehouse.label","Associated Warehouse","Entrepôts associés","Assoziierte speichert","tiendas asociadas","negozi associati","Associated winkels","lojas associadas","関連店舗","相关门店","相關門店","相关门店","相關門店","cửa hàng Associated","Связанное Склад","Botigues associades","Dendetan Associated"
,,,,,,,,,,,,,,,,,
"delivery.method","error.form.code.empty","Delivery method code can&#39;t be null or empty","Le nom du mode de livraison ne peut-être vide.","Der Name der Bereitstellungsmethode darf nicht leer sein.","El nombre del método de entrega no puede estar vacío.","Il nome del metodo di consegna non può essere vuoto.","De naam van de levering methode kan niet leeg zijn.","O nome do método de entrega não pode ser vazio.","配送方法の名前は空にすることはできません。","交付方法的名称不能为空。","交付方法的名稱不能為空。","交付方法的名称不能为空。","交付方法的名稱不能為空。","Các tên của phương thức giao hàng không có thể để trống.","Способ доставки код не может быть пустым или пустой","El nom del mètode de lliurament no pot estar buit.","Entrega metodoaren izena ezin da hutsik egon."
"delivery.method","error.form.name.empty","Delivery method name can&#39;t be null or empty","Le code du mode de livraison ne peut-être vide.","Der Code des Liefermethode darf nicht leer sein.","El código del método de entrega no puede estar vacío.","Il codice del metodo di consegna non può essere vuoto.","De code van de levering methode kan niet leeg zijn.","O código do método de entrega não pode ser vazio.","配送方法のコードが空にすることはできません。","交付方法的代码不能为空。","交付方法的代碼不能為空。","交付方法的代码不能为空。","交付方法的代碼不能為空。","Các mã của các phương pháp phân phối không thể để trống.","Имя Способ доставки не может быть пустым или пустой","El codi del mètode de lliurament no pot estar buit.","Entrega metodoa kodea ezin da hutsik egon."
,,,,,,,,,,,,,,,,,
"delivery.method","update.success.message","The delivery method was updated with success.","Le mode de livraison a été mis à jour avec succès.","Die Art der Lieferung wurde erfolgreich aktualisiert.","El método de entrega se ha actualizado correctamente.","Il metodo di consegna è stato aggiornato con successo.","De wijze van levering is succesvol bijgewerkt.","O método de entrega foi atualizado com sucesso.","配信方法は、正常に更新されました。","递送的方法已成功地更新。","遞送的方法已成功地更新。","递送的方法已成功地更新。","遞送的方法已成功地更新。","Phương thức giao hàng đã được cập nhật thành công.","Способ доставки был обновлен с успехом.","El mètode de lliurament s'ha actualitzat correctament.","Entrega metodoa bezala eguneratu da."
"delivery.method","create.success.message","The delivery method was created with success.","Le mode de livraison a été créé avec succès.","Die Art der Lieferung wurde erfolgreich angelegt.","El tipo de parto se ha creado correctamente.","La modalità di consegna è stato creato con successo.","De wijze van levering is succesvol aangemaakt.","O tipo de parto foi criado com sucesso.","分娩様式の作成に成功しました。","分娩方式已成功创建。","分娩方式已成功創建。","分娩方式已成功创建。","分娩方式已成功創建。","Phương thức giao hàng đã được tạo thành công.","Способ доставки был создан с успехом.","El tipus de part s'ha creat correctament.","Entregatzeko modua egoki sortu da."
"delivery.method","delete.success.message","The delivery method was delete with success.","Le mode de livraison a été supprimé avec succès.","Die Art der Lieferung wurde erfolgreich gelöscht.","El tipo de parto se ha eliminado correctamente.","La modalità di consegna è stato eliminato con successo.","De wijze van levering is met succes verwijderd.","O tipo de parto foi excluído com sucesso.","配達のモードが正常に削除されました。","分娩方式已成功删除。","分娩方式已成功刪除。","分娩方式已成功删除。","分娩方式已成功刪除。","Phương thức giao hàng đã được xóa thành công.","Способ доставки был удаления с успехом.","El tipus de part s'ha eliminat correctament.","Entregatzeko modua ongi ezabatu."
"delivery.method","create.or.update.message","The delivery method can&#39;t be updated or created!","Le mode de livraison n&#39;a pu être mis à jour avec succès.","Die Art der Lieferung wurde erfolgreich aktualisiert.","El método de entrega se ha actualizado correctamente.","Il metodo di consegna è stato aggiornato con successo.","De wijze van levering is succesvol bijgewerkt.","O método de entrega foi atualizado com sucesso.","配信方法は、正常に更新されました。","递送的方法已成功地更新。","遞送的方法已成功地更新。","递送的方法已成功地更新。","遞送的方法已成功地更新。","Phương thức giao hàng đã được cập nhật thành công.","Способ доставки не могут быть обновлены или созданы!","El mètode de lliurament s'ha actualitzat correctament.","Entrega metodoa bezala eguneratu da."
"## -- Tax --",,,,,,,,,,,,,,,,,
"header.title","tax.list.by.market.area","Tax list for this Market Area - {0}","Liste des taxes pour cette market area - {0}","Steuerliste für dieses Marktgebiet - {0}","Lista de Impuestos para esta área de mercado - {0}","Lista fiscale per questa area di mercato - {0}","Fiscale lijst voor dit marktgebied - {0}","Lista fiscal para esta área de mercado - {0}","このマーケットエリアの税リスト - {0}","纳税排行榜这一市场领域 - {0}","納稅排行榜這一市場領域 - {0}","纳税排行榜这一市场领域 - {0}","納稅排行榜這一市場領域 - {0}","Danh sách thuế đối với khu vực thị trường này - {0}","Налоговый список для этого рыночной площади - {0}","Llista d'Impostos per a aquesta àrea de mercat - {0}","Zerga zerrenda merkatuko arlo honetan - {0}"
"header.title","tax.details","Tax - {0}","Taxe - {0}","MwSt - {0}","Impuestos - {0}","Tax - {0}","Tax - {0}","Imposto - {0}","税 - {0}","税 - {0}","稅 - {0}","税 - {0}","稅 - {0}","Thuế - {0}","Налог - {0}","Impostos - {0}","Zerga - {0}"
"header.title","tax.edit","Tax - {0}","Taxe - {0}","MwSt - {0}","Impuestos - {0}","Tax - {0}","Tax - {0}","Imposto - {0}","税 - {0}","税 - {0}","稅 - {0}","税 - {0}","稅 - {0}","Thuế - {0}","Налог - {0}","Impostos - {0}","Zerga - {0}"
"header.title","tax.add","New Tax","Nouvelle Taxe","neue Steuer","Nuevo impuesto","New fiscale","nieuwe fiscale","novo imposto","新税","新的税收","新的稅收","新的税收","新的稅收","thuế mới","Новый Налоговый","Nou impost","Zerga berria"
"tax","code.label","Code","Code","Code","código","codice","code","código","コード","代码","代碼","代码","代碼","Mã","код","Codi","Kodea"
"tax","name.label","Name","Nom ","Name","nombre","nome","naam","nome","名前","名字","名字","名字","名字","tên","имя","Nom","Izena"
"tax","description.label","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","説明","描述","描述","描述","描述","miêu tả","описание","Descripció","Deskribapena"
"tax","percent.label","Percent","Pourcentage","Prozentsatz","porcentaje","percentuale","percentage","percentagem","パーセンテージ","百分比","百分比","百分比","百分比","tỷ lệ phần trăm","процентов","Percentatge","Ehunekoa"
,,,,,,,,,,,,,,,,,
"tax","error.form.code.empty","Tax code can&#39;t be null or empty","Le nom de la taxe ne peut-être vide.","Der Name der Steuer darf nicht leer sein.","El nombre del impuesto no puede estar vacío.","Il nome della tassa non può essere vuoto.","De naam van de belasting mag niet leeg zijn.","O nome do imposto não pode ser vazio.","税金の名前は空にすることはできません。","税收的名称不能为空。","稅收的名稱不能為空。","税收的名称不能为空。","稅收的名稱不能為空。","Tên của thuế không thể để trống.","Налоговый кодекс не может быть пустым или пустой","El nom de l'impost no pot estar buit.","Zerga-izena ezin da hutsik egon."
"tax","error.form.name.empty","Tax name can&#39;t be null or empty","Le code de la taxe ne peut-être vide.","Die Steuer-Code darf nicht leer sein.","El código de impuestos no puede estar vacío.","Il codice fiscale non può essere vuoto.","De fiscale code kan niet leeg zijn.","O código de imposto não pode ser vazio.","税コードは空にすることはできません。","税法不能为空。","稅法不能為空。","税法不能为空。","稅法不能為空。","Các mã số thuế không thể để trống.","Налоговый имя не может быть пустым или пустой","El codi d'impostos no pot estar buit.","Zerga kodea ezin da hutsik egon."
"tax","error.form.percent.empty","Tax percent can&#39;t be null or empty","Le % de la taxe ne peut-être vide.","Die% der Steuer darf nicht leer sein.","El% del impuesto no puede estar vacío.","L&#39;% della tassa non può essere vuoto.","Het% van de belasting mag niet leeg zijn.","A% do imposto não pode ser vazio.","税の％は、空にすることはできません。","税收的％不能为空。","稅收的％不能為空。","税收的％不能为空。","稅收的％不能為空。","Việc% số thuế không thể để trống.","Налоговый процентов не может быть пустым или пустой","El% de l'impost no pot estar buit.","Zergaren% ezin da hutsik egon."
,,,,,,,,,,,,,,,,,
"tax","update.success.message","The tax was updated with success.","La taxe a été mise à jour avec succès.","Die Steuer wurde erfolgreich aktualisiert.","El impuesto se ha actualizado correctamente.","L&#39;imposta è stato aggiornato con successo.","De belasting is succesvol bijgewerkt.","O imposto foi atualizado com sucesso.","税は正常に更新されました。","税收已成功更新。","稅收已成功更新。","税收已成功更新。","稅收已成功更新。","Thuế đã được cập nhật thành công.","Налог был обновлен с успехом.","L'impost s'ha actualitzat correctament.","Zerga ondo eguneratu da."
"tax","create.success.message","The tax was created with success.","La taxe a été créée avec succès.","Die Steuer wurde erfolgreich angelegt.","Se ha creado correctamente el impuesto.","L&#39;imposta è stato creato con successo.","De belasting is succesvol aangemaakt.","O imposto foi criado com sucesso.","税金の作成に成功しました。","税收创建成功。","稅收創建成功。","税收创建成功。","稅收創建成功。","Thuế đã được tạo thành công.","Налог был создан с успехом.","S'ha creat correctament l'impost.","Zerga egoki sortu da."
"tax","delete.success.message","The tax was delete with success.","La taxe a été supprimée avec succès.","Die Steuer wurde erfolgreich entfernt.","El impuesto se ha eliminado correctamente.","L&#39;imposta è stato rimosso con successo.","De belasting werd met succes verwijderd.","O imposto foi removido com sucesso.","税が正常に削除された。","该税被删除成功。","該稅被刪除成功。","该税被删除成功。","該稅被刪除成功。","Thuế đã được gỡ bỏ thành công.","Налог был удаления с успехом.","L'impost s'ha eliminat correctament.","Zerga zuzen ezabatu da."
"tax","create.or.update.message","The tax can&#39;t be updated or created!","La taxe n&#39;a pu être mise à jour avec succès.","Die Steuer wurde erfolgreich aktualisiert.","El impuesto se ha actualizado correctamente.","L&#39;imposta è stato aggiornato con successo.","De belasting is succesvol bijgewerkt.","O imposto foi atualizado com sucesso.","税は正常に更新されました。","税收已成功更新。","稅收已成功更新。","税收已成功更新。","稅收已成功更新。","Thuế đã được cập nhật thành công.","Налог не могут быть обновлены или созданы!","L'impost s'ha actualitzat correctament.","Zerga ondo eguneratu da."
"## -- Order --",,,,,,,,,,,,,,,,,
"header.title","order.list.by.market.area","Order list for this Market Area - {0}","Liste des commande pour cette market area - {0}","Bestellliste für dieses Marktgebiet - {0}","Lista de la orden para esta área de mercado - {0}","Lista d&#39;ordine per questo settore di mercato - {0}","Bestellijst voor dit marktgebied - {0}","Lista de ordem para esta área de mercado - {0}","このマーケットエリア順リスト - {0}","顺序列表这个市场领域 - {0}","順序列表這個市場領域 - {0}","顺序列表这个市场领域 - {0}","順序列表這個市場領域 - {0}","Danh sách thứ tự cho khu vực thị trường này - {0}","Список для заказа на этом рынке в районе - {0}","Llista de l'ordre per a aquesta àrea de mercat - {0}","Agindu zerrenda merkatuko arlo honetan - {0}"
"header.title","order.details","Order - {0}","Commande - {0}","Bestellen - {0}","Orden - {0}","Order - {0}","Bestel - {0}","Order - {0}","注文 - {0}","订单 - {0}","訂單 - {0}","订单 - {0}","訂單 - {0}","Đặt mua - {0}","Заказ - {0}","Ordre - {0}","Agindua - {0}"
"header.title","order.edit","Order - {0}","Commande - {0}","Bestellen - {0}","Orden - {0}","Order - {0}","Bestel - {0}","Order - {0}","注文 - {0}","订单 - {0}","訂單 - {0}","订单 - {0}","訂單 - {0}","Đặt mua - {0}","Заказ - {0}","Ordre - {0}","Agindua - {0}"
"order","order.number.label","Order number","N° de commande","Best.-Nr.","Nº de pedido","Numero di ordinazione","Bestel No.","Despacho n.º","注文番号","订购号","訂購號","订购号","訂購號","Lệnh số","номер заказа","Nº de comanda","Hurrenkera zenbakia"
"order","date.create.label","Created date","Date de commande","Bestelldatum","Fecha del pedido","Data ordine","Bestel Date","Data do pedido","注文日","订购日期","訂購日期","订购日期","訂購日期","Để ngày","Дата создания","Data de la comanda","Agindua data"
"order","status.label","Status","Statut","Status","estado","stato","toestand","estado","ステータス","状态","狀態","状态","狀態","Status","статус","Estat","Egoera"
"order","expected.delivery.date.label","Expected delivery date","Date de livraison prévue","Liefertermin","Fecha De Entrega","Data Di Consegna","Leveringsdatum","Data De Entrega","配送日","交货日期","交貨日期","交货日期","交貨日期","Ngày giao hàng","Ожидаемая дата поставки","Data De Lliurament","Delivery Date"
"## -- Customer --",,,,,,,,,,,,,,,,,
"header.title","customer.details","Customer - {0}","Client - {0}","Client - {0}","Cliente - {0}","Client - {0}","Client - {0}","Cliente - {0}","クライアント - {0}","客户端 - {0}","客戶端 - {0}","客户端 - {0}","客戶端 - {0}","Khách hàng - {0}","Заказчик - {0}","Client - {0}","Bezero - {0}"
"header.title","customer.edit","Customer - {0}","Client - {0}","Client - {0}","Cliente - {0}","Client - {0}","Client - {0}","Cliente - {0}","クライアント - {0}","客户端 - {0}","客戶端 - {0}","客户端 - {0}","客戶端 - {0}","Khách hàng - {0}","Заказчик - {0}","Client - {0}","Bezero - {0}"
"header.title","customer.add","New Customer","Nouveau client","Neuer Kunde","Nuevo Cliente","Nuovo cliente","nieuwe klant","novo cliente","新規のお客様","新客户","新客戶","新客户","新客戶","khách hàng mới","Новый покупатель","Nou Client","Bezero berria"
"customer","title.label","Title","Civilité","Höflichkeit","civilidad","civiltà","beleefdheid","civilidade","礼節","礼貌","禮貌","礼貌","禮貌","phép lịch sự","название","Civilitat","Gizalegea"
"customer","lastname.label","Lastname","Nom ","Name","nombre","nome","naam","nome","名前","名字","名字","名字","名字","tên","Фамилия","Nom","Izena"
"customer","firstname.label","Firstname","Prénom ","Vorname","Nombre De Pila","Nome","Voornaam","primeiro Nome","ファーストネーム","名字","名字","名字","名字","First Name","Имя","Nom De Pila","Lehenengoa izena"
"customer","email.label","Email","email ","E-Mail","correo electrónico","e-mail","e-mail","e-mail","電子メール","电子邮件","電子郵件","电子邮件","電子郵件","e-mail","Email","correu electrònic","e-mail"
"customer","login.label","Login","Login ","Einloggen","Iniciar Sesión","login","Log In","Conecte-Se","ログイン","登录","登錄","登录","登錄","đăng nhập","Войти","Iniciar Sessió","Login"
"customer","password.label","Password","Mot de passe ","Passwort","Contraseña","Password","Wachtwoord","Senha","パスワード","密码","密碼","密码","密碼","Mật khẩu","пароль","Contrasenya","Pasahitza"
"customer","active.label","is active ?","est actif ? ","aktiv?","activo?","attiva?","actief?","ativo?","アクティブ？","活跃？","活躍？","活跃？","活躍？","đang hoạt động?","активен?","actiu?","aktiboa?"
,,,,,,,,,,,,,,,,,
